Reporting Year,"Aggregate Level (Citywide, Borough, Council District, Census Tract)",Aggregate Level ID,Total #Storefronts,Median Square Feet,Average Square Feet,#Storefront leased to tenants,#Storefront leased and not operating on 12/31,Median Monthly Rent Per Square Foot,Average Monthly Rent Per Square Foot,Median Years Leased,Average Years Leased,#Storefronts with Leases Ending after 12/31,Median Years Lease Term Remaining after 12/31,Average Years Lease Term Remaining after 12/31,Number whose lease is due to expire within the two years after 6/1,#Storefront Reported Occupied by Owner,Median Years Occupied by Owner,Average Years Occupied by Owner,#Storefront reported Not Leased and Not Owner Occupied,Median Years Not Leased and Not Owner Occupied,Average Years Not Leased and Not Owner Occupied,#Storefront under construction with DOB Projects Listed,Median years for construction projects,Average years for construction projects
2021,Census Tract,4.1459.00,17,950.00,1367.53,10,0,3.00,3.30,5.00,9.56,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.1447.00,39,1136.00,3314.49,29,0,3.00,3.33,5.00,5.32,16,4.03,4.23,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.1435.00,16,890.00,1222.63,15,0,2.00,1.96,9.00,8.54,14,4.79,4.63,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.1429.00,11,1018.00,2091.73,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.1367.00,34,1567.00,2705.68,32,0,5.00,4.71,12.37,15.44,31,4.42,5.49,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.1347.00,68,1832.00,7726.90,61,*,5.25,5.53,20.02,21.30,61,3.50,3.57,22,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.1341.00,29,1500.00,1811.55,29,*,3.00,5.57,5.00,6.15,19,2.08,3.24,*,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
2021,Census Tract,4.1339.00,35,870.00,1360.49,33,0,5.00,18.00,1.00,4.44,15,1.16,2.27,11,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.1333.00,43,1150.00,1627.49,42,0,3.00,3.85,10.00,11.03,33,2.25,3.13,17,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.1301.00,16,5267.00,6664.38,16,0,6.50,6.18,16.33,19.80,15,4.67,5.35,*,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
2021,Census Tract,4.1291.04,24,1050.00,1139.58,17,*,4.00,3.88,9.67,10.27,17,4.75,5.18,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.1291.03,22,1650.00,3058.45,21,0,5.00,5.67,16.24,17.71,16,2.00,3.20,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.1277.00,59,1166.00,2363.93,54,0,4.10,15.85,5.00,7.96,30,3.00,4.69,12,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.1267.00,14,1210.00,1590.14,13,0,2.00,3.04,5.00,5.45,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.1265.00,25,1084.00,1890.88,25,*,3.00,16.73,10.00,9.21,21,4.25,4.69,*,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
2021,Census Tract,4.1257.00,15,2500.00,7403.87,12,*,3.00,6.77,4.50,8.01,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.1241.00,13,900.00,1342.31,12,0,4.00,4.65,10.17,11.07,11,3.01,4.10,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.1227.02,24,1811.00,4490.96,23,0,2.00,4.26,1.00,3.04,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.1227.01,42,1286.00,3768.79,37,*,3.00,3.65,2.01,9.47,17,4.75,5.41,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.1223.00,11,1000.00,1710.45,*,*,*,*,*,*,*,*,*,0,*,*,*,0,0.00,0.00,0,0.00,0.00
2021,Census Tract,4.1205.00,10,1175.00,5358.70,10,*,5.50,30.20,17.51,13.03,*,*,*,*,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
2021,Census Tract,4.1191.00,43,980.00,1581.88,35,*,3.00,2.99,3.00,3.62,19,2.00,2.63,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.1181.00,14,3709.50,5026.00,13,0,4.00,5.33,10.34,14.96,10,5.29,5.49,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.1175.00,29,1300.00,4045.21,19,*,5.00,6.89,6.00,8.20,12,3.34,3.15,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.1171.00,177,1250.00,1473.49,157,*,4.00,4.65,5.75,6.40,113,3.33,3.87,37,*,*,*,*,*,*,*,*,*
2021,Census Tract,4.1167.00,24,1750.00,1732.50,20,*,4.00,8.80,7.00,5.87,13,4.00,3.82,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.1163.00,36,1383.00,2298.92,34,0,7.00,21.11,11.01,12.27,27,6.50,7.21,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.1159.00,19,630.00,1669.58,18,0,3.00,5.83,10.01,7.30,12,7.04,6.47,0,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.1157.00,49,1375.00,3032.39,31,*,5.67,30.48,7.00,7.93,23,1.75,2.92,10,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.1155.00,28,1250.00,1761.79,25,*,3.00,8.40,6.00,5.01,16,4.00,4.12,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.1139.00,23,1300.00,2088.57,19,0,3.00,3.27,5.00,7.36,14,2.04,3.14,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.1129.00,17,1500.00,1425.76,17,*,4.00,3.82,1.00,7.61,*,*,*,*,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
2021,Census Tract,4.1123.00,69,1250.00,1954.32,64,*,4.00,4.32,3.98,6.43,31,3.42,4.92,10,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.1099.00,35,900.00,1584.80,34,*,2.73,2.79,5.00,4.93,20,2.96,3.54,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.1085.00,14,1100.00,2007.14,14,*,2.50,4.50,1.00,2.12,*,*,*,*,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
2021,Census Tract,4.1072.01,11,800.00,1285.00,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.1039.00,14,1225.00,1441.86,11,*,3.00,6.87,2.00,6.00,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.1032.02,31,1020.00,3648.32,25,*,2.00,2.40,14.05,17.71,21,2.08,2.67,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.1032.01,20,1430.00,4736.65,18,*,3.00,3.02,9.46,9.93,13,4.16,5.91,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.1017.00,60,1025.00,1852.05,51,*,3.00,7.95,11.09,17.70,44,5.96,7.05,10,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.1010.01,63,1300.00,2244.10,54,*,2.78,3.47,5.08,8.75,41,2.25,2.82,18,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.1008.02,37,1530.00,2889.84,35,*,3.00,3.41,5.08,8.92,28,1.54,3.95,10,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.0998.01,17,920.00,2576.35,17,0,6.00,6.43,17.01,19.26,16,3.37,3.97,*,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
2021,Census Tract,4.0997.04,70,3024.00,4750.84,57,*,5.00,5.54,15.57,18.60,56,3.13,4.24,19,0,0.00,0.00,13,1.00,1.03,0,0.00,0.00
2021,Census Tract,4.0992.00,10,1500.00,2847.60,*,*,*,*,*,*,*,*,*,0,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.0987.00,78,1222.00,3015.23,60,0,3.00,4.04,10.92,14.18,43,3.84,4.54,17,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.0981.00,58,1000.00,1861.17,52,0,22.00,16.11,5.00,5.70,39,1.67,2.75,20,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.0954.00,18,1357.00,1616.33,18,*,4.00,4.29,10.01,11.29,18,5.67,5.58,*,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
2021,Census Tract,4.0945.00,45,4103.00,14376.24,35,0,3.00,3.23,11.00,14.81,32,3.05,4.67,11,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.0942.03,13,588.00,734.38,10,*,2.55,2.35,1.00,1.43,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.0942.02,28,1087.00,1782.61,23,*,2.00,1.91,1.00,4.93,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.0938.00,62,1373.50,3178.47,56,0,3.00,3.48,5.00,7.78,34,2.00,3.05,16,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.0934.02,35,1200.00,3445.89,32,0,3.00,4.10,10.00,12.91,25,4.67,5.47,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.0929.00,19,1000.00,3479.11,14,0,3.00,4.86,5.00,6.54,10,3.37,3.36,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.0925.00,44,1445.00,1573.61,37,*,2.95,4.56,5.00,5.59,27,2.16,2.81,13,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.0919.00,28,1929.50,7720.32,13,*,2.00,2.61,5.00,7.04,*,*,*,0,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.0907.00,16,7708.50,21204.44,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.0892.00,101,1404.00,3341.90,83,*,3.42,3.65,8.78,8.91,67,3.33,4.38,16,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.0889.01,42,1462.50,2050.45,37,*,33.00,27.90,1.00,1.71,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.0884.00,15,2000.00,3943.80,12,0,2.00,2.69,5.38,10.82,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.0871.00,304,1545.00,4761.26,271,25,8.00,12.29,5.01,6.77,191,3.00,3.83,60,12,1.00,6.95,21,1.00,1.01,0,0.00,0.00
2021,Census Tract,4.0869.00,234,1698.00,3952.82,195,19,3.00,6.26,4.00,5.39,104,2.62,3.00,41,20,1.00,1.81,19,1.00,0.96,*,*,*
2021,Census Tract,4.0865.00,52,2000.00,5366.63,42,*,4.00,13.57,5.00,6.33,32,1.75,2.48,19,*,*,*,*,*,*,*,*,*
2021,Census Tract,4.0863.00,10,1065.00,4120.80,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00,*,*,*,0,0.00,0.00
2021,Census Tract,4.0861.00,10,1280.00,1527.70,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.0859.00,21,850.00,1675.24,18,0,7.50,7.50,16.04,19.82,18,3.37,3.41,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.0857.00,16,830.00,1448.50,14,0,2.23,2.64,1.00,3.39,*,*,*,0,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.0855.00,29,1200.00,2137.83,24,*,3.00,4.34,1.00,5.16,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.0853.00,93,1000.00,1997.24,83,12,8.00,8.93,5.67,7.57,53,2.67,3.70,21,*,*,*,*,*,*,*,*,*
2021,Census Tract,4.0849.00,171,1200.00,2473.40,144,11,5.00,7.46,4.71,5.99,84,2.54,3.37,34,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.0845.00,15,1444.00,2484.87,12,0,3.00,3.00,8.50,10.45,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.0840.00,27,1700.00,2678.15,21,0,2.02,2.38,3.75,10.12,10,5.29,13.69,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.0838.00,19,850.00,1600.00,18,*,2.70,2.49,9.09,10.85,17,1.00,2.61,10,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,4.0837.00,12,810.00,1457.50,12,*,5.00,4.92,9.00,10.23,11,5.09,4.31,*,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
2021,Census Tract,4.0809.00,12,1245.00,1578.50,*,*,*,*,*,*,*,*,*,0,0,0.00,0.00,*,*,*,0,0.00,0.00
2021,Census Tract,4.0799.00,12,1350.00,2134.50,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
